,All Diagnoses,Infection,Neurological,Metal Health,Respiratory,Drug Issue,Cardiology,Diabetes,Circulatory,Cancer,Trauma,Year
Percent Female,0.5812182741116751,0.561035758323058,0.6190476190476191,0.5116279069767442,0.5189504373177842,0.43023255813953487,0.473421926910299,0.5192307692307693,0.5223880597014925,0.5714285714285714,0.2857142857142857,2015
Percent Caucasian,0.9455160744500846,0.969173859432799,0.9523809523809523,0.9159212880143113,0.9460641399416909,0.8953488372093024,0.9651162790697675,0.9423076923076923,0.9477611940298507,0.9285714285714286,1.0,2015
Avg APR Severity,2.0829103214890017,2.7003699136868065,2.4285714285714284,1.6046511627906976,2.6661807580174925,2.1744186046511627,2.416943521594684,2.5,2.216417910447761,2.7857142857142856,2.4285714285714284,2015
Avg APR Mortality Risk,1.8321489001692048,2.5462392108508016,2.0476190476190474,1.0626118067978534,2.4518950437317786,1.4069767441860466,2.3754152823920265,1.8076923076923077,2.1940298507462686,2.5714285714285716,2.0,2015
Percent Emergency Admission,0.665989847715736,0.9260172626387176,0.9047619047619048,0.8872987477638641,0.9314868804664723,0.8953488372093024,0.8704318936877077,0.9423076923076923,0.8582089552238806,0.8809523809523809,1.0,2015
Age Score,2.4568124322370797,3.113263785394933,3.176470588235294,0.9248291571753986,3.3001579778830963,0.9205298013245033,1.4822834645669292,1.8636363636363635,2.394160583941606,0.5263157894736842,1.6428571428571428,2016
Percent Female,0.5755330683050235,0.518628912071535,0.5098039215686274,0.4760820045558087,0.5371248025276462,0.40397350993377484,0.4566929133858268,0.45454545454545453,0.48905109489051096,0.47368421052631576,0.5,2016
Percent Caucasian,0.93964582580412,0.9493293591654247,0.9803921568627451,0.9225512528473804,0.95260663507109,0.847682119205298,0.9744094488188977,0.9545454545454546,0.948905109489051,1.0,0.8571428571428571,2016
Avg APR Severity,2.0343332128659197,2.6900149031296574,2.549019607843137,1.55125284738041,2.69826224328594,1.8741721854304636,2.3031496062992125,2.4545454545454546,2.2335766423357666,2.8684210526315788,1.5714285714285714,2016
Avg APR Mortality Risk,1.7708709794000723,2.49478390461997,2.196078431372549,1.0523917995444192,2.462875197472354,1.1986754966887416,2.2421259842519685,2.022727272727273,2.167883211678832,2.789473684210526,2.2857142857142856,2016
Percent Emergency Admission,0.6353451391398627,0.9165424739195231,0.9607843137254902,0.8792710706150342,0.9447077409162717,0.8874172185430463,0.844488188976378,0.8863636363636364,0.8175182481751825,0.8421052631578947,1.0,2016
