apr_drg_description,diagnosis,count
Alcohol abuse & dependence,Drug Issue,8
Nontraumatic stupor & coma,Neurological,8
Disorders of pancreas except malignancy,Other,8
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",Cardiology,8
Alcoholic liver disease,Drug Issue,8
Gastrointestinal vascular insufficiency,Circulatory,7
"Osteomyelitis, septic arthritis & other musculoskeletal infections",Other,7
Other musculoskeletal system & connective tissue diagnoses,Other,7
"Other kidney & urinary tract diagnoses, signs & symptoms",Other,6
Other circulatory system diagnoses,Circulatory,6
Coagulation & platelet disorders,Circulatory,6
"Respiratory signs, symptoms & minor diagnoses",Respiratory,6
"Malfunction, reaction & complication of GI device or procedure",Other,6
Toxic effects of non-medicinal substances,Other,6
Other esophageal disorders,Other,6
Cardiac arrest and shock,Cardiology,6
Opioid abuse & dependence,Drug Issue,6
"Other back & neck disorders, fractures & injuries",Other,5
Tracheostomy w MV 96+ hours w/o extensive procedure,Other,5
Moderately extensive procedure unrelated to principal diagnosis,Other,5
Inflammatory bowel disease,Other,5
Angina pectoris & coronary atherosclerosis,Cardiology,5
Nonextensive procedure unrelated to principal diagnosis,Other,5
Hip joint replacement,Other,4
Digestive malignancy,Cancer,4
Other disorders of the liver,Other,4
Other antepartum diagnoses,Other,4
Malignancy of hepatobiliary system & pancreas,Cancer,4
Fracture of pelvis or dislocation of hip,Other,4
Appendectomy,Other,4
"Neonate birthwt >2499g, normal newborn or neonate w other problem",Other,4
Amputation of lower limb except toes,Other,4
Other complications of treatment,Other,3
Postpartum & post abortion diagnoses w/o procedure,Other,3
Transurethral prostatectomy,Other,3
Urinary stones & acquired upper urinary tract obstruction,Other,3
OTHER VASCULAR PROCEDURES,Other,3
Viral illness,Infection,3
"Major stomach, esophageal & duodenal procedures",Other,3
Anal procedures,Other,3
Infections of upper respiratory tract,Infection,3
Major esophageal disorders,Other,3
Cholecystectomy except laparoscopic,Other,3
"Malfunction, reaction, complic of orthopedic device or procedure",Other,3
Non-bacterial infections of nervous system exc viral meningitis,Infection,2
"Other skin, subcutaneous tissue & breast disorders",Other,2
"Other skin, subcutaneous tissue & related procedures",Other,2
Other small & large bowel procedures,Other,2
"Peripheral, cranial & autonomic nerve disorders",Neurological,2
"Fractures & dislocations except femur, pelvis & back",Other,2
"Ear, nose, mouth, throat, cranial/facial malignancies",Other,2
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma",Trauma,2
"Contusion, open wound & other trauma to skin & subcutaneous tissue",Other,2
"Other kidney, urinary tract & related procedures",Other,2
"Shoulder, upper arm & forearm procedures except joint replacement",Other,2
Chest pain,Other,2
Cardiac structural & valvular disorders,Cardiology,2
Tracheostomy w MV 96+ hours w extensive procedure or ECMO,Other,2
Asthma,Respiratory,2
Uterine & adnexa procedures for non-malignancy except leiomyoma,Other,2
Vaginal delivery w sterilization &/or D&C,Other,2
Knee joint replacement,Other,2
Malignant breast disorders,Cancer,2
Major bladder procedures,Other,2
"Lymphoma, myeloma & non-acute leukemia",Cancer,2
"Other injury, poisoning & toxic effect diagnoses",Other,2
Other circulatory system procedures,Circulatory,2
"Malfunction,reaction,complication of cardiac/vasc device or procedure",Cardiology,2
Major chest & respiratory trauma,Trauma,2
Male reproductive system diagnoses except malignancy,Other,2
O.R. procedure for other complications of treatment,Other,2
Bipolar disorders,Metal Health,1
Cardiomyopathy,Cardiology,1
Seizure,Neurological,1
Nonspecific CVA & precerebral occlusion w/o infarct,Circulatory,1
"Neonate bwt 2000-2499g, normal newborn or neonate w other problem",Other,1
Other O.R. procedures for lymphatic/hematopoietic/other neoplasms,Other,1
Adjustment disorders & neuroses except depressive diagnoses,Metal Health,1
Skin graft for skin & subcutaneous tissue diagnoses,Other,1
Menstrual & other female reproductive system disorders,Other,1
Behavioral disorders,Metal Health,1
"Thyroid, parathyroid & thyroglossal procedures",Other,1
Neonate bwt 2000-2499g w major anomaly,Other,1
Other cardiothoracic & thoracic vascular procedures,Cardiology,1
Cardiac catheterization for other non-coronary conditions,Cardiology,1
Musculoskeletal malignancy & pathol fracture d/t muscskel malig,Other,1
CVA & precerebral occlusion w infarct,Circulatory,1
Transient ischemia,Circulatory,1
Lymphatic & other malignancies & neoplasms of uncertain behavior,Cancer,1
Dental & oral diseases & injuries,Other,1
"D&C, aspiration curettage or hysterotomy for obstetric diagnoses",Other,1
Degenerative nervous system disorders exc mult sclerosis,Neurological,1
Other mental health disorders,Metal Health,1
Other infectious & parasitic diseases,Infection,1
Kidney & urinary tract procedures for nonmalignancy,Other,1
Other respiratory & chest procedures,Respiratory,1
Kidney & urinary tract malignancy,Cancer,1
"Other hepatobiliary, pancreas & abdominal procedures",Other,1
Major abdominal vascular procedures,Circulatory,1
Intracranial hemorrhage,Cancer,1
"Neonate, transferred < 5 days old, born here",Other,1
Percutaneous coronary intervention w/o AMI,Cardiology,1
Peritoneal adhesiolysis,Other,1
"Hernia procedures except inguinal, femoral & umbilical",Other,1
Major skin disorders,Other,1
"Post-op, post-trauma, other device infections w O.R. procedure",Infection,1
Fracture of femur,Other,1
Extracranial vascular procedures,Circulatory,1
Extensive procedure unrelated to principal diagnosis,Other,1
"Inguinal, femoral & umbilical hernia procedures",Other,1
