apr_drg_description,diagnosis,count
CVA & PRECEREBRAL OCCLUSION W INFARCT,Circulatory,14
SEIZURE,Neurological,14
KNEE JOINT REPLACEMENT,Other,13
"OTHER RESPIRATORY DIAGNOSES EXCEPT SIGNS, SYMPTOMS & MINOR DIAGNOSES",Respiratory,13
OTHER ENDOCRINE DISORDERS,Other,13
"POST-OPERATIVE, POST-TRAUMATIC, OTHER DEVICE INFECTIONS",Infection,12
HEPATIC COMA & OTHER MAJOR ACUTE LIVER DISORDERS,Other,11
ABDOMINAL PAIN,Other,11
OTHER DISORDERS OF THE LIVER,Other,10
ALCOHOLIC LIVER DISEASE,Drug Issue,10
CHEST PAIN,Other,10
MAJOR GASTROINTESTINAL & PERITONEAL INFECTIONS,Infection,10
POISONING OF MEDICINAL AGENTS,Other,9
DIVERTICULITIS & DIVERTICULOSIS,Infection,9
BIPOLAR DISORDERS,Metal Health,9
HIP JOINT REPLACEMENT,Other,9
CESAREAN DELIVERY,Other,8
OTHER ESOPHAGEAL DISORDERS,Other,8
"MALNUTRITION, FAILURE TO THRIVE & OTHER NUTRITIONAL DISORDERS",Other,7
"OTHER KIDNEY & URINARY TRACT DIAGNOSES, SIGNS & SYMPTOMS",Other,7
OTHER VASCULAR PROCEDURES,Other,7
AMPUTATION OF LOWER LIMB EXCEPT TOES,Other,7
CARDIAC ARREST,Cardiology,7
INFLAMMATORY BOWEL DISEASE,Other,6
ALCOHOL ABUSE & DEPENDENCE,Drug Issue,6
SCHIZOPHRENIA,Metal Health,6
NONTRAUMATIC STUPOR & COMA,Neurological,6
PERITONEAL ADHESIOLYSIS,Other,6
TOXIC EFFECTS OF NON-MEDICINAL SUBSTANCES,Other,6
SKIN ULCERS,Other,5
VAGINAL DELIVERY,Other,5
TRANSIENT ISCHEMIA,Circulatory,5
COAGULATION & PLATELET DISORDERS,Circulatory,5
OTHER DISORDERS OF NERVOUS SYSTEM,Neurological,5
OTHER INFECTIOUS & PARASITIC DISEASES,Infection,5
DISORDERS OF GALLBLADDER & BILIARY TRACT,Other,5
MAJOR HEMATOLOGIC/IMMUNOLOGIC DIAG EXC SICKLE CELL CRISIS & COAGUL,Circulatory,5
OTHER RESPIRATORY & CHEST PROCEDURES,Respiratory,5
URINARY STONES & ACQUIRED UPPER URINARY TRACT OBSTRUCTION,Other,5
MAJOR RESPIRATORY & CHEST PROCEDURES,Respiratory,5
"INGUINAL, FEMORAL & UMBILICAL HERNIA PROCEDURES",Other,5
VERTIGO & OTHER LABYRINTH DISORDERS,Other,5
"RESPIRATORY SIGNS, SYMPTOMS & MINOR DIAGNOSES",Respiratory,5
OTHER SMALL & LARGE BOWEL PROCEDURES,Other,4
"NEONATE BIRTHWT >2499G, NORMAL NEWBORN OR NEONATE W OTHER PROBLEM",Other,4
HYPERTENSION,Circulatory,4
NERVOUS SYSTEM MALIGNANCY,Cancer,4
NONEXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,Other,4
NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT,Circulatory,4
"OSTEOMYELITIS, SEPTIC ARTHRITIS & OTHER MUSCULOSKELETAL INFECTIONS",Other,4
OTHER ANTEPARTUM DIAGNOSES,Other,4
ORGANIC MENTAL HEALTH DISTURBANCES,Other,4
FOOT & TOE PROCEDURES,Other,4
KIDNEY & URINARY TRACT PROCEDURES FOR NONMALIGNANCY,Other,4
DEGENERATIVE NERVOUS SYSTEM DISORDERS EXC MULT SCLEROSIS,Neurological,4
EXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,Other,4
MAJOR DEPRESSIVE DISORDERS & OTHER/UNSPECIFIED PSYCHOSES,Metal Health,4
FEVER,Other,3
MODERATELY EXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,Other,3
DIGESTIVE MALIGNANCY,Cancer,3
FRACTURE OF PELVIS OR DISLOCATION OF HIP,Other,3
"FRACTURES & DISLOCATIONS EXCEPT FEMUR, PELVIS & BACK",Other,3
LYMPHATIC & OTHER MALIGNANCIES & NEOPLASMS OF UNCERTAIN BEHAVIOR,Cancer,3
OTHER CIRCULATORY SYSTEM PROCEDURES,Circulatory,3
OTHER CIRCULATORY SYSTEM DIAGNOSES,Circulatory,3
"OTHER BACK & NECK DISORDERS, FRACTURES & INJURIES",Other,3
MAJOR ESOPHAGEAL DISORDERS,Other,3
"DRUG & ALCOHOL ABUSE OR DEPENDENCE, LEFT AGAINST MEDICAL ADVICE",Drug Issue,3
CHOLECYSTECTOMY EXCEPT LAPAROSCOPIC,Other,3
"MAJOR STOMACH, ESOPHAGEAL & DUODENAL PROCEDURES",Other,3
MAJOR THORACIC & ABDOMINAL VASCULAR PROCEDURES,Circulatory,3
URETHRAL & TRANSURETHRAL PROCEDURES,Other,3
FRACTURE OF FEMUR,Other,3
"OTHER SKIN, SUBCUTANEOUS TISSUE & BREAST DISORDERS",Other,3
"MALFUNCTION,REACTION,COMPLICATION OF CARDIAC/VASC DEVICE OR PROCEDURE",Cardiology,3
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,Respiratory,3
UTERINE & ADNEXA PROCEDURES FOR OVARIAN & ADNEXAL MALIGNANCY,Cancer,2
SPLENECTOMY,Other,2
POSTPARTUM & POST ABORTION DIAGNOSES W/O PROCEDURE,Other,2
TRANSURETHRAL PROSTATECTOMY,Other,2
RESPIRATORY MALIGNANCY,Cancer,2
"PERIPHERAL, CRANIAL & AUTONOMIC NERVE DISORDERS",Neurological,2
"MALFUNCTION, REACTION, COMPLIC OF ORTHOPEDIC DEVICE OR PROCEDURE",Other,2
VIRAL ILLNESS,Infection,2
OTHER DIGESTIVE SYSTEM & ABDOMINAL PROCEDURES,Other,2
CONNECTIVE TISSUE DISORDERS,Other,2
MUSCULOSKELETAL MALIGNANCY & PATHOL FRACTURE D/T MUSCSKEL MALIG,Other,2
"NEONATE, TRANSFERRED < 5 DAYS OLD, BORN HERE",Other,2
ASTHMA,Respiratory,2
MAJOR BLADDER PROCEDURES,Other,2
OPIOID ABUSE & DEPENDENCE,Drug Issue,2
ANAL PROCEDURES,Other,2
OTHER COMPLICATIONS OF TREATMENT,Other,2
INTERSTITIAL LUNG DISEASE,Respiratory,2
"MALFUNCTION, REACTION & COMPLICATION OF GI DEVICE OR PROCEDURE",Other,2
"TENDON, MUSCLE & OTHER SOFT TISSUE PROCEDURES",Other,1
ECTOPIC PREGNANCY PROCEDURE,Other,1
EATING DISORDERS,Metal Health,1
DENTAL & ORAL DISEASES & INJURIES,Other,1
"CONTUSION, OPEN WOUND & OTHER TRAUMA TO SKIN & SUBCUTANEOUS TISSUE",Other,1
TRACHEOSTOMY W MV 96+ HOURS W/O EXTENSIVE PROCEDURE,Other,1
CARDIOMYOPATHY,Cardiology,1
TRACHEOSTOMY W MV 96+ HOURS W EXTENSIVE PROCEDURE OR ECMO,Other,1
FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,Other,1
CARDIAC STRUCTURAL & VALVULAR DISORDERS,Cardiology,1
BRONCHIOLITIS & RSV PNEUMONIA,Infection,1
APPENDECTOMY,Other,1
UTERINE & ADNEXA PROCEDURES FOR LEIOMYOMA,Other,1
ALLERGIC REACTIONS,Other,1
ADJUSTMENT DISORDERS & NEUROSES EXCEPT DEPRESSIVE DIAGNOSES,Metal Health,1
EXTRACRANIAL VASCULAR PROCEDURES,Circulatory,1
"OTHER EAR, NOSE, MOUTH,THROAT & CRANIAL/FACIAL DIAGNOSES",Other,1
HIV W MAJOR HIV RELATED CONDITION,Infection,1
MASTECTOMY PROCEDURES,Other,1
OTHER NERVOUS SYSTEM & RELATED PROCEDURES,Neurological,1
OTHER O.R. PROCEDURES FOR LYMPHATIC/HEMATOPOIETIC/OTHER NEOPLASMS,Other,1
"OTHER PROCEDURES FOR ENDOCRINE, NUTRITIONAL & METABOLIC DISORDERS",Other,1
O.R. PROCEDURE FOR OTHER COMPLICATIONS OF TREATMENT,Other,1
NEPHRITIS & NEPHROSIS,Other,1
"OTHER SKIN, SUBCUTANEOUS TISSUE & RELATED PROCEDURES",Other,1
MIGRAINE & OTHER HEADACHES,Neurological,1
MALIGNANCY OF HEPATOBILIARY SYSTEM & PANCREAS,Cancer,1
INTRACRANIAL HEMORRHAGE,Cancer,1
ACUTE ANXIETY & DELIRIUM STATES,Metal Health,1
"PERMANENT CARDIAC PACEMAKER IMPLANT W AMI, HEART FAILURE OR SHOCK",Cardiology,1
MALE REPRODUCTIVE SYSTEM DIAGNOSES EXCEPT MALIGNANCY,Other,1
MAJOR SKIN DISORDERS,Other,1
"MAJOR PANCREAS, LIVER & SHUNT PROCEDURES",Other,1
"PROCEDURE W DIAG OF REHAB, AFTERCARE OR OTH CONTACT W HEALTH SERVICE",Other,1
MAJOR O.R. PROCEDURES FOR LYMPHATIC/HEMATOPOIETIC/OTHER NEOPLASMS,Other,1
"LYMPHOMA, MYELOMA & NON-ACUTE LEUKEMIA",Cancer,1
