apr_drg_description,diagnosis,count
Malignant breast disorders,Cancer,4
Malignancy of hepatobiliary system & pancreas,Cancer,4
Male reproductive system diagnoses except malignancy,Other,4
Cardiac arrest and shock,Cardiology,4
Connective tissue disorders,Other,4
Lymphatic & other malignancies & neoplasms of uncertain behavior,Cancer,4
Other circulatory system diagnoses,Circulatory,4
Other musculoskeletal system & connective tissue diagnoses,Other,4
Other digestive system & abdominal procedures,Other,4
"Respiratory signs, symptoms & minor diagnoses",Respiratory,3
"Osteomyelitis, septic arthritis & other musculoskeletal infections",Other,3
Skin ulcers,Other,3
Other antepartum diagnoses,Other,3
Transient ischemia,Circulatory,3
"Peripheral, cranial & autonomic nerve disorders",Neurological,3
Urinary stones & acquired upper urinary tract obstruction,Other,3
Abdominal pain,Other,3
Fracture of pelvis or dislocation of hip,Other,3
"Neonate, transferred < 5 days old, born here",Other,3
Acute leukemia,Cancer,3
"Fractures & dislocations except femur, pelvis & back",Other,3
Amputation of lower limb except toes,Other,3
Fracture of femur,Other,3
Fever,Other,3
Major chest & respiratory trauma,Trauma,3
Angina pectoris & coronary atherosclerosis,Cardiology,3
Appendectomy,Other,3
Digestive malignancy,Cancer,3
Coagulation & platelet disorders,Circulatory,3
Schizophrenia,Metal Health,2
"Other skin, subcutaneous tissue & related procedures",Other,2
Degenerative nervous system disorders exc mult sclerosis,Neurological,2
Asthma,Respiratory,2
Chest pain,Other,2
Bipolar disorders,Metal Health,2
Other respiratory & chest procedures,Respiratory,2
Anal procedures,Other,2
Urethral & transurethral procedures,Other,2
Uterine & adnexa procedures for non-malignancy except leiomyoma,Other,2
Vaginal delivery w sterilization &/or D&C,Other,2
"Other skin, subcutaneous tissue & breast disorders",Other,2
Nervous system malignancy,Cancer,2
"Other ear, nose, mouth,throat & cranial/facial diagnoses",Other,2
Opioid abuse & dependence,Drug Issue,2
"Malfunction, reaction & complication of GI device or procedure",Other,2
Kidney & urinary tract procedures for nonmalignancy,Other,2
Other esophageal disorders,Other,2
Major bladder procedures,Other,2
Major biliary tract procedures,Other,2
Major O.R. procedures for lymphatic/hematopoietic/other neoplasms,Other,1
"Lymphoma, myeloma & non-acute leukemia",Cancer,1
Other disorders of nervous system,Neurological,1
Cardiac structural & valvular disorders,Cardiology,1
Sickle cell anemia crisis,Circulatory,1
Bronchiolitis & RSV pneumonia,Infection,1
"Other procedures for endocrine, nutritional & metabolic disorders",Other,1
Cocaine abuse & dependence,Drug Issue,1
Other circulatory system procedures,Circulatory,1
"Other back & neck disorders, fractures & injuries",Other,1
Transurethral prostatectomy,Other,1
Major respiratory & chest procedures,Respiratory,1
Major skin disorders,Other,1
Acute & subacute endocarditis,Cardiology,1
"Tendon, muscle & other soft tissue procedures",Other,1
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma",Trauma,1
Inborn errors of metabolism,Other,1
Percutaneous coronary intervention w/o AMI,Cardiology,1
"Hernia procedures except inguinal, femoral & umbilical",Other,1
Infections of upper respiratory tract,Infection,1
"Other kidney, urinary tract & related procedures",Other,1
Head trauma w coma >1 hr or hemorrhage,Trauma,1
"Other stomach, esophageal & duodenal procedures",Other,1
Interstitial & alveolar lung diseases,Respiratory,1
Nephritis & nephrosis,Other,1
Other infectious & parasitic diseases,Infection,1
Depression except major depressive disorder,Metal Health,1
Intracranial hemorrhage,Cancer,1
Peritoneal adhesiolysis,Other,1
Eating disorders,Metal Health,1
"Ear, nose, mouth, throat, cranial/facial malignancies",Other,1
"Post-op, post-trauma, other device infections w O.R. procedure",Infection,1
"Drug & alcohol abuse or dependence, left against medical advice",Drug Issue,1
Dilation & curettage for non-obstetric diagnoses,Other,1
Viral meningitis,Infection,1
