apr_drg_description,diagnosis,count
Abdominal pain,Other,3
"Malfunction,reaction,complication of cardiac/vasc device or procedure",Cardiology,3
Extensive procedure unrelated to principal diagnosis,Other,3
"Inguinal, femoral & umbilical hernia procedures",Other,3
Coagulation & platelet disorders,Circulatory,3
Interstitial & alveolar lung diseases,Respiratory,3
Cardiac arrest and shock,Cardiology,3
"Neonate birthwt >2499g, normal newborn or neonate w other problem",Other,3
Extracranial vascular procedures,Circulatory,3
"Drug & alcohol abuse or dependence, left against medical advice",Drug Issue,2
Dental & oral diseases & injuries,Other,2
"Respiratory signs, symptoms & minor diagnoses",Respiratory,2
"Peripheral, cranial & autonomic nerve disorders",Neurological,2
Tracheostomy w MV 96+ hours w/o extensive procedure,Other,2
Female reproductive system malignancy,Cancer,2
Kidney & urinary tract malignancy,Cancer,2
Cholecystectomy except laparoscopic,Other,2
Other respiratory & chest procedures,Respiratory,2
Kidney & urinary tract procedures for nonmalignancy,Other,2
Seizure,Neurological,2
Inborn errors of metabolism,Other,2
Transient ischemia,Circulatory,2
Bipolar disorders,Metal Health,2
Musculoskeletal malignancy & pathol fracture d/t muscskel malig,Other,2
Musculoskeletal & other procedures for multiple significant trauma,Trauma,2
Appendectomy,Other,2
Malignant breast disorders,Cancer,2
"Malfunction, reaction, complic of orthopedic device or procedure",Other,2
"Major stomach, esophageal & duodenal procedures",Other,2
"Malfunction, reaction & complication of GI device or procedure",Other,2
"Other ear, nose, mouth,throat & cranial/facial diagnoses",Other,2
Major abdominal vascular procedures,Circulatory,2
"Lymphoma, myeloma & non-acute leukemia",Cancer,2
Bronchiolitis & RSV pneumonia,Infection,1
Skin ulcers,Other,1
Cocaine abuse & dependence,Drug Issue,1
Urinary stones & acquired upper urinary tract obstruction,Other,1
"Contusion, open wound & other trauma to skin & subcutaneous tissue",Other,1
Uterine & adnexa procedures for non-malignancy except leiomyoma,Other,1
Cardiac structural & valvular disorders,Cardiology,1
"Tendon, muscle & other soft tissue procedures",Other,1
Renal dialysis access device procedure only,Other,1
Vaginal delivery w sterilization &/or D&C,Other,1
Testes & scrotal procedures,Other,1
O.R. procedure for other complications of treatment,Other,1
Eating disorders,Metal Health,1
Knee joint replacement,Other,1
Non-bacterial infections of nervous system exc viral meningitis,Infection,1
Menstrual & other female reproductive system disorders,Other,1
Mastectomy procedures,Other,1
"Malnutrition, failure to thrive & other nutritional disorders",Other,1
Major biliary tract procedures,Other,1
Other female reproductive system & related procedures,Other,1
Lymphatic & other malignancies & neoplasms of uncertain behavior,Cancer,1
Other infectious & parasitic diseases,Infection,1
"Other injury, poisoning & toxic effect diagnoses",Other,1
"Other kidney, urinary tract & related procedures",Other,1
Fever,Other,1
Knee & lower leg procedures except foot,Other,1
"Other procedures for endocrine, nutritional & metabolic disorders",Other,1
Kidney & urinary tract procedures for malignancy,Cancer,1
"Other stomach, esophageal & duodenal procedures",Other,1
Infections of upper respiratory tract,Infection,1
Nonspecific CVA & precerebral occlusion w/o infarct,Circulatory,1
Hypertension,Circulatory,1
"Permanent cardiac pacemaker implant w AMI, heart failure or shock",Cardiology,1
Head trauma w coma >1 hr or hemorrhage,Trauma,1
Viral illness,Infection,1
