apr_drg_description,diagnosis,count,,
ORGANIC MENTAL HEALTH DISTURBANCES,Other,5,,
INFLAMMATORY BOWEL DISEASE,Other,5,Digestive,
"MALFUNCTION, REACTION, COMPLIC OF ORTHOPEDIC DEVICE OR PROCEDURE",Other,5,,
TRANSURETHRAL PROSTATECTOMY,Other,5,,
MAJOR HEMATOLOGIC/IMMUNOLOGIC DIAG EXC SICKLE CELL CRISIS & COAGUL,Circulatory,5,,
AMPUTATION OF LOWER LIMB EXCEPT TOES,Other,5,,
OTHER ANTEPARTUM DIAGNOSES,Other,4,,
"NEONATE, TRANSFERRED < 5 DAYS OLD, BORN HERE",Other,4,,
OTHER ENDOCRINE DISORDERS,Other,4,,
"OTHER EAR, NOSE, MOUTH,THROAT & CRANIAL/FACIAL DIAGNOSES",Other,4,,
LYMPHATIC & OTHER MALIGNANCIES & NEOPLASMS OF UNCERTAIN BEHAVIOR,Cancer,4,,
OTHER RESPIRATORY & CHEST PROCEDURES,Respiratory,4,,
CONNECTIVE TISSUE DISORDERS,Other,4,,
"POST-OP, POST-TRAUMA, OTHER DEVICE INFECTIONS W O.R. PROCEDURE",Infection,4,,
MALIGNANCY OF HEPATOBILIARY SYSTEM & PANCREAS,Cancer,4,,
ADJUSTMENT DISORDERS & NEUROSES EXCEPT DEPRESSIVE DIAGNOSES,Metal Health,3,,
SEIZURE,Neurological,3,,
MALE REPRODUCTIVE SYSTEM DIAGNOSES EXCEPT MALIGNANCY,Other,3,,
HEAD TRAUMA W COMA >1 HR OR HEMORRHAGE,Trauma,3,,
O.R. PROCEDURE FOR OTHER COMPLICATIONS OF TREATMENT,Other,3,,
TOXIC EFFECTS OF NON-MEDICINAL SUBSTANCES,Other,3,,
"FRACTURES & DISLOCATIONS EXCEPT FEMUR, PELVIS & BACK",Other,3,Trauma,
FRACTURE OF FEMUR,Other,3,Trauma,
CARDIOMYOPATHY,Cardiology,3,,
FOOT & TOE PROCEDURES,Other,3,,
PERITONEAL ADHESIOLYSIS,Other,3,,
NERVOUS SYSTEM MALIGNANCY,Cancer,3,,
EXTRACRANIAL VASCULAR PROCEDURES,Circulatory,2,,
OTHER NERVOUS SYSTEM & RELATED PROCEDURES,Neurological,2,,
"OTHER INJURY, POISONING & TOXIC EFFECT DIAGNOSES",Other,2,,
"PERMANENT CARDIAC PACEMAKER IMPLANT W AMI, HEART FAILURE OR SHOCK",Cardiology,2,,
OTHER DIGESTIVE SYSTEM & ABDOMINAL PROCEDURES,Other,2,Digestive,
"OTHER EAR, NOSE, MOUTH & THROAT PROCEDURES",Other,2,,
NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT,Circulatory,2,,
URINARY STONES & ACQUIRED UPPER URINARY TRACT OBSTRUCTION,Other,2,,
ASTHMA,Respiratory,2,,
INTRACRANIAL HEMORRHAGE,Cancer,2,,
OTHER CIRCULATORY SYSTEM PROCEDURES,Circulatory,2,,
KIDNEY & URINARY TRACT MALIGNANCY,Cancer,2,,
KIDNEY & URINARY TRACT PROCEDURES FOR MALIGNANCY,Cancer,2,,
MAJOR CHEST & RESPIRATORY TRAUMA,Trauma,2,,
CARDIAC STRUCTURAL & VALVULAR DISORDERS,Cardiology,2,,
MAJOR BLADDER PROCEDURES,Other,2,,
KNEE & LOWER LEG PROCEDURES EXCEPT FOOT,Other,2,,
OPIOID ABUSE & DEPENDENCE,Drug Issue,2,,
BRONCHIOLITIS & RSV PNEUMONIA,Infection,1,,
TRACHEOSTOMY W MV 96+ HOURS W/O EXTENSIVE PROCEDURE,Other,1,,
DENTAL & ORAL DISEASES & INJURIES,Other,1,,
TRACHEOSTOMY W MV 96+ HOURS W EXTENSIVE PROCEDURE OR ECMO,Other,1,,
"CONTUSION, OPEN WOUND & OTHER TRAUMA TO SKIN & SUBCUTANEOUS TISSUE",Other,1,Trauma,
"DRUG & ALCOHOL ABUSE OR DEPENDENCE, LEFT AGAINST MEDICAL ADVICE",Drug Issue,1,,
CHOLECYSTECTOMY EXCEPT LAPAROSCOPIC,Other,1,Digestive,
CARDIAC ARREST,Cardiology,1,,
SPLENECTOMY,Other,1,Digestive,
MAJOR SKIN DISORDERS,Other,1,,
INFECTIONS OF UPPER RESPIRATORY TRACT,Infection,1,,
"EAR, NOSE, MOUTH, THROAT, CRANIAL/FACIAL MALIGNANCIES",Other,1,,
EYE DISORDERS EXCEPT MAJOR INFECTIONS,Other,1,,
MAJOR O.R. PROCEDURES FOR LYMPHATIC/HEMATOPOIETIC/OTHER NEOPLASMS,Other,1,,
ACUTE LEUKEMIA,Cancer,1,,
MENTAL ILLNESS DIAGNOSIS W O.R. PROCEDURE,Metal Health,1,,
MODERATELY EXTENSIVE PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,Other,1,,
MUSCULOSKELETAL & OTHER PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA,Trauma,1,,
MUSCULOSKELETAL MALIGNANCY & PATHOL FRACTURE D/T MUSCSKEL MALIG,Other,1,Cancer,
NEONATE BIRTHWT 500-749G W/O MAJOR PROCEDURE,Other,1,,
KIDNEY & URINARY TRACT PROCEDURES FOR NONMALIGNANCY,Other,1,,
OTHER BLADDER PROCEDURES,Other,1,,
INTERSTITIAL LUNG DISEASE,Respiratory,1,,
"INGUINAL, FEMORAL & UMBILICAL HERNIA PROCEDURES",Other,1,,
OTHER DRUG ABUSE & DEPENDENCE,Drug Issue,1,,
OTHER FEMALE REPRODUCTIVE SYSTEM & RELATED PROCEDURES,Other,1,,
MAJOR THORACIC & ABDOMINAL VASCULAR PROCEDURES,Circulatory,1,,
"HERNIA PROCEDURES EXCEPT INGUINAL, FEMORAL & UMBILICAL",Other,1,Digestive,
OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE PROCEDURES,Other,1,,
OTHER O.R. PROCEDURES FOR LYMPHATIC/HEMATOPOIETIC/OTHER NEOPLASMS,Other,1,,
"OTHER SKIN, SUBCUTANEOUS TISSUE & BREAST DISORDERS",Other,1,,
"OTHER SKIN, SUBCUTANEOUS TISSUE & RELATED PROCEDURES",Other,1,,
VIRAL MENINGITIS,Infection,1,,
