apr_drg_description,diagnosis,count
Inflammatory bowel disease,Other,5
Other circulatory system diagnoses,Circulatory,5
Hepatic coma & other major acute liver disorders,Other,4
Seizure,Neurological,4
"Neonate birthwt >2499g, normal newborn or neonate w other problem",Other,4
"Major stomach, esophageal & duodenal procedures",Other,4
Syncope & collapse,Cardiology,4
Degenerative nervous system disorders exc mult sclerosis,Neurological,4
Major esophageal disorders,Other,4
Major depressive disorders & other/unspecified psychoses,Metal Health,4
Hip and femur fracture repair,Other,4
Major abdominal vascular procedures,Circulatory,4
Cardiac arrest and shock,Cardiology,4
Urethral & transurethral procedures,Other,4
Other infectious & parasitic diseases,Infection,4
Skin ulcers,Other,4
Other disorders of the liver,Other,3
Alcoholic liver disease,Drug Issue,3
"Other injury, poisoning & toxic effect diagnoses",Other,3
"Drug & alcohol abuse or dependence, left against medical advice",Drug Issue,3
"Osteomyelitis, septic arthritis & other musculoskeletal infections",Other,3
"Other skin, subcutaneous tissue & related procedures",Other,3
"Respiratory signs, symptoms & minor diagnoses",Respiratory,3
Tracheostomy w MV 96+ hours w/o extensive procedure,Other,3
Knee joint replacement,Other,3
Male reproductive system diagnoses except malignancy,Other,3
Kidney & urinary tract procedures for nonmalignancy,Other,3
Kidney & urinary tract malignancy,Cancer,3
Interstitial & alveolar lung diseases,Respiratory,3
Moderately extensive procedure unrelated to principal diagnosis,Other,3
"Shoulder, upper arm & forearm procedures except joint replacement",Other,2
Urinary stones & acquired upper urinary tract obstruction,Other,2
"Post-op, post-trauma, other device infections w O.R. procedure",Infection,2
Uterine & adnexa procedures for leiomyoma,Other,2
Other respiratory & chest procedures,Respiratory,2
Non-bacterial infections of nervous system exc viral meningitis,Infection,2
Tracheostomy w MV 96+ hours w extensive procedure or ECMO,Other,2
"Other skin, subcutaneous tissue & breast disorders",Other,2
"Contusion, open wound & other trauma to skin & subcutaneous tissue",Other,2
Other small & large bowel procedures,Other,2
"Inguinal, femoral & umbilical hernia procedures",Other,2
Percutaneous coronary intervention w/o AMI,Cardiology,2
Asthma,Respiratory,2
"Signs, symptoms & other factors influencing health status",Other,2
"Lymphoma, myeloma & non-acute leukemia",Cancer,2
Major bladder procedures,Other,2
Transurethral prostatectomy,Other,2
Schizophrenia,Metal Health,2
"Neonate, transferred < 5 days old, born here",Other,2
Opioid abuse & dependence,Drug Issue,2
Fracture of pelvis or dislocation of hip,Other,2
Cardiac structural & valvular disorders,Cardiology,2
"Malfunction,reaction,complication of cardiac/vasc device or procedure",Cardiology,2
Cholecystectomy except laparoscopic,Other,2
Other complications of treatment,Other,2
Other disorders of nervous system,Neurological,2
Coagulation & platelet disorders,Circulatory,2
Amputation of lower limb except toes,Other,2
"Peripheral, cranial & autonomic nerve disorders",Neurological,2
Uterine & adnexa procedures for non-malignancy except leiomyoma,Other,1
Angina pectoris & coronary atherosclerosis,Cardiology,1
Renal dialysis access device procedure only,Other,1
Peritoneal adhesiolysis,Other,1
Transient ischemia,Circulatory,1
"Permanent cardiac pacemaker implant w AMI, heart failure or shock",Cardiology,1
Allergic reactions,Other,1
Other O.R. procedures for lymphatic/hematopoietic/other neoplasms,Other,1
Behavioral disorders,Metal Health,1
Kidney & urinary tract procedures for malignancy,Cancer,1
"Ear, nose, mouth, throat, cranial/facial malignancies",Other,1
Extensive 3rd degree or full thickness burns w/o skin graft,Other,1
Extensive abdominal/thoracic procedures for mult significant trauma,Trauma,1
Extensive procedure unrelated to principal diagnosis,Other,1
Fever,Other,1
Fracture of femur,Other,1
Head trauma w coma >1 hr or hemorrhage,Trauma,1
Dental & oral diseases & injuries,Other,1
Hypertension,Circulatory,1
Infections of upper respiratory tract,Infection,1
Cystic fibrosis - pulmonary disease,Respiratory,1
Connective tissue disorders,Other,1
Major biliary tract procedures,Other,1
"Other stomach, esophageal & duodenal procedures",Other,1
Adjustment disorders & neuroses except depressive diagnoses,Metal Health,1
Nephritis & nephrosis,Other,1
Nervous system malignancy,Cancer,1
Cardiomyopathy,Cardiology,1
Organic mental health disturbances,Other,1
Other cardiothoracic & thoracic vascular procedures,Cardiology,1
Other circulatory system procedures,Circulatory,1
Cardiac catheterization for other non-coronary conditions,Cardiology,1
"Other ear, nose, mouth,throat & cranial/facial diagnoses",Other,1
Other female reproductive system & related procedures,Other,1
"Other kidney, urinary tract & related procedures",Other,1
Other musculoskeletal system & connective tissue procedures,Other,1
"Malnutrition, failure to thrive & other nutritional disorders",Other,1
